збор,значење,примери,граматички определби,преводи на други јазици,извор
брод — прегазлив дел од река,,,,,"Теорија на книжевноста, Ранко Младеновски УГД"
броеница (молитвена),,,,,
негователка/негувателка,,,,,
подножје,,,,,
Свидовица,,,,,
-алка,,,,,
-ан,,,,,
-ар,,,,,
-ат,,,,,
-ач,,,,,
-ачка,,,,,
-ба,,,,,
-ва,,,,,
-ве,,,,,
-во,,,,,
-е,,,,,
-ев,,,,,
-еж,,,,,
-ен,,,,,
-ение,,,,,
-енце,,,,,
-ест,,,,,
-ец,,,,,
-и,,,,,
-изам,,,,,
-ин,,,,,
-ина,,,,,
-инка,,,,,
-ира,,,,,
-ит,,,,,
-итис,,,,,
-ица,,,,,
-иче,,,,,
-ичка,,,,,
-иште,,,,,
-ји,,,,,
-јќи,,,,,
-ка,,,,,
-ко,,,,,
-ле,,,,,
-лив,,,,,
-лиште,,,,,
-ло,,,,,
-логија,,,,,
-лук/лок/л'к,,,,,
-на,,,,,
-не,,,,,
-ник,,,,,
-но,,,,,
-ње,,,,,
-ов,,,,,
-ода,,,,,
-оза,,,,,
-он,,,,,
-ост,,,,,
-от,,,,,
-ота,,,,,
-ски,,,,,
-та,,,,,
-те,,,,,
-тел,,,,,
-то,,,,,
-ува,,,,,
-уле,,,,,
-уш,,,,,
-фобија,,,,,
-холизам,,,,,
-холичар,,,,,
-ца,,,,,
-це,,,,,
-че,,,,,
-чки,,,,,
-џија,,,,,
-шки,,,,,
....,,,,,
.... годишен,,,,,
’Рж,растение,,,,
'рпаљ,сељак (диј. струмички),,,,
‘рскавичнокоскени,,,,,
'рт,,,,,
(изгорен) ко камионџија,,,,,
(пакетни) роеви (пчеларство),,,,,
Alopecija Areata,,,,,
Genitalen Herpes Simplex,,,,,
Hammer Toes,,,,,
Leiomyoma Corporis Uteri,,,,,
Mieloma Multipleks,,,,,
Oбична Леска,растение,,,,
Placenta Praevia Заседната Постелка,,,,,
Sah,,,,,
Tenosinovit,,,,,
Volnest Butin,растение,,,,
А – што?,,,,,
А-аа – потврдно ДА,,,,,
Аааа – навистина?,,,,,
Аајт – извик,,,,,
аба,,,,,
абак???,,,,,
абаџија,,,,,
абдал,,,,,
абдал,,,,,
абдест,,,,,
абе,,,,,
абен,,,,,
абер,,,,,
аби,,,,,
аби,,,,,
аби,,,,,
аби,,,,,
Ава – воздух,,,,,
аван,,,,,
аванс,,,,,
Аваскуларна Некроза,,,,,
август,,,,,
Авел,,,,,
авивирање,,,,,
авиокомпанија,,,,,
авион,,,,,
авиониште,,,,,
авиопроизводство,,,,,
авра,,,,,
Аврам,,,,,
аври,,,,,
автарх,,,,,
автенце,автомобилче (диј. ),,,,
автичики,колички (диј. кумановски),,,,
авто-,,,,,
автобусиште,,,,,
автокамп,,,,,
автоклав,,,,,
автолакирач,,,,,
автолакирач,,,,,
автомеханичар,,,,,
автомеханичар,,,,,
автомобил,(диј. ),,,,
автомобилиште,,,,,
автомобилство,,,,,
автомобилче,(диј. ),,,,
автономен,,,,,
автопат,,,,,
автопералница,,,,,
автор,,,,,
автосаем,,,,,
автосервис,,,,,
автосервис,,,,,
автосервисер,,,,,
автохтон,,,,,
автошкола,,,,,
ага,,,,,
агенс,,,,,
агент,,,,,
аги,,,,,
аглест,,,,,
агли,,,,,
агол,,,,,
агрометеоролошки,,,,,
агроном,,,,,
агрономија,,,,,
агруми,,,,,
ада,,,,,
ада,,,,,
ада,,,,,
ада,,,,,
Адансонија,растение,,,,
адаптер,,,,,
адвокатура,,,,,
адвокатура,,,,,
адекватност,,,,,
адет,,,,,
адјункт,,,,,
администрација,,,,,
адмирал,"1.
2. пеперутка",,,,
адресира,,,,,
адут,,,,,
ает,,,,,
аждер,,,,,
"Аз`р – готово,спремно",,,,,
азбест,,,,,
азил,,,,,
азиски,,,,,
азот,,,,,
Азот () област,,,,,
Азотемија,,,,,
азотски,,,,,
аи,,,,,
аир,,,,,
Ајанасана – бре мајката!,,,,,
ајван,,,,,
ајвар,,,,,
ајвар,,,,,
ајварка,,,,,
Ајг’р – нескопен коњ,,,,,
Ајга,,,,,
ајдаред,,,,,
ајде,,,,,
ајдук,,,,,
ајдут,,,,,
ајдут,,,,,
ајдутин,,,,,
ајдутсво,,,,,
Ајдучка Трева,растение,,,,
ајет,,,,,
ајкулиште,,,,,
ајле,многу (диј. ),,,,
ајљак,слободен (диј. радовишки),,,,
"Ајљак – без обврски, задолженија",,,,,
Ајмана – слободен,,,,,
"Ајнаџии – мрзливец,турцизам го употребуват бежанците, а се употребува за оние кои ништо не работат.",,,,,
Ајнштајн,,,,,
ајран,,,,,
ака,,,,,
акал,,,,,
акал,,,,,
акал,(диј. ),,,,
акање,,,,,
Акација,растение,,,,
аквакултура,,,,,
акватичен,,,,,
акл,"ум, памет (диј. )",,,,
акмеологија,,,,,
акна,,,,,
акнат,,,,,
акне,,,,,
акне,,,,,
акни,,,,,
Акни,,,,,
ако,,,,,
аконотација,,,,,
Акра,,,,,
акран,,,,,
акреп,,,,,
Акромегалија,,,,,
аксеологија,,,,,
актер,,,,,
актив,,,,,
активност,,,,,
активност,,,,,
актуелност,,,,,
акумулатор,,,,,
акумулација,,,,,
Акутен Коронарен Синдром,,,,,
акутирано,,,,,
акцент,,,,,
акцентолошки,,,,,
ала,,,,,
ала,,,,,
Ала франга – според француски образец,,,,,
Алажил Синдром,,,,,
Алајка – слугинка,,,,,
алал,,,,,
алапача,некој што многу знае да зборува (диј.),,,,
